x,custom,boost,derivation
-8.1660000000,0.1309330652,0.1309330652,0.2547604109
-8.1650000000,0.1311877754,0.1311877754,0.2546605428
-8.1640000000,0.1314423856,0.1314423856,0.2545604116
-8.1630000000,0.1316968956,0.1316968956,0.2544600174
-8.1620000000,0.1319513050,0.1319513050,0.2543593603
-8.1610000000,0.1322056136,0.1322056136,0.2542584402
-8.1600000000,0.1324598212,0.1324598212,0.2541572574
-8.1590000000,0.1327139275,0.1327139275,0.2540558118
-8.1580000000,0.1329679321,0.1329679321,0.2539541035
-8.1570000000,0.1332218350,0.1332218350,0.2538521326
-8.1560000000,0.1334756357,0.1334756357,0.2537498991
-8.1550000000,0.1337293341,0.1337293341,0.2536474032
-8.1540000000,0.1339829299,0.1339829299,0.2535446448
-8.1530000000,0.1342364228,0.1342364228,0.2534416241
-8.1520000000,0.1344898125,0.1344898125,0.2533383411
-8.1510000000,0.1347430988,0.1347430988,0.2532347960
-8.1500000000,0.1349962814,0.1349962814,0.2531309886
-8.1490000000,0.1352493601,0.1352493601,0.2530269192
-8.1480000000,0.1355023346,0.1355023346,0.2529225878
-8.1470000000,0.1357552046,0.1357552046,0.2528179945
-8.1460000000,0.1360079699,0.1360079699,0.2527131393
-8.1450000000,0.1362606303,0.1362606303,0.2526080224
-8.1440000000,0.1365131854,0.1365131854,0.2525026437
-8.1430000000,0.1367656349,0.1367656349,0.2523970034
-8.1420000000,0.1370179787,0.1370179787,0.2522911014
-8.1410000000,0.1372702165,0.1372702165,0.2521849380
-8.1400000000,0.1375223480,0.1375223480,0.2520785132
-8.1390000000,0.1377743729,0.1377743729,0.2519718270
-8.1380000000,0.1380262910,0.1380262910,0.2518648795
-8.1370000000,0.1382781020,0.1382781020,0.2517576708
-8.1360000000,0.1385298057,0.1385298057,0.2516502009
-8.1350000000,0.1387814018,0.1387814018,0.2515424700
-8.1340000000,0.1390328900,0.1390328900,0.2514344781
-8.1330000000,0.1392842701,0.1392842701,0.2513262253
-8.1320000000,0.1395355419,0.1395355419,0.2512177116
-8.1310000000,0.1397867049,0.1397867049,0.2511089371
